Player Full Name,Birth Date,Year Start,Year End,Position,Height,Wingspan,Weight
Albert King,17.12.1959,1982,1992,F-G,198.1,,190
Alec Burks,20.07.1991,2012,2018,G,198.1,208.3,214
Alec Kessler,13.01.1967,1991,1994,F-C,210.8,,230
Alec Peters,13.04.1995,2018,2018,F,205.7,210.2,232
Aleksandar Djordjevic,26.08.1967,1997,1997,G,188,,198
Aleksandar Radojevic,08.08.1976,2000,2005,C,221,,250
Alex Abrines,01.08.1993,2017,2018,G-F,198.1,,190
Alex Acker,21.01.1983,2006,2009,G,195.6,213.4,185
Alex Blackwell,27.06.1970,1993,1993,F,198.1,,250
Alex Bradley,30.10.1959,1982,1982,F,198.1,,215
Alex Caruso,28.02.1994,2018,2018,G,195.6,,186
Alex English,05.01.1954,1977,1991,F,200.7,,190
Alex Garcia,04.03.1980,2004,2005,G,190.5,,220
Alex Groza,07.10.2026,1950,1951,C,200.7,,218
Alex Hannum,19.07.2023,1950,1957,F-C,200.7,,210
Alex Kirk,14.11.1991,2015,2015,C,213.4,222.3,245
Alex Len,16.06.1993,2014,2018,C,215.9,222.3,260
Alex Poythress,06.09.1993,2017,2018,F,200.7,,238
Alex Scales,03.07.1978,2006,2006,G,193,205.7,185
Alex Stepheson,07.08.1987,2016,2016,F,208.3,,270
Alex Stivrins,29.11.1962,1986,1993,F,203.2,,220
Alexander Johnson,08.02.1983,2007,2008,F,205.7,,240
Alexander Volkov,28.03.1964,1990,1992,C,208.3,,218
Alexey Shved,16.12.1988,2013,2015,G,198.1,,190
Alexis Ajinca,06.05.1988,2009,2017,C,218.4,,248
Al-Farouq Aminu,21.09.1990,2011,2018,F,205.7,221.6,220
Alfonzo McKinnie,17.09.1992,2018,2018,F,203.2,,215
Alfred McGuire,07.09.2028,1952,1955,G-F,188,,180
Alfredrick Hughes,19.07.1962,1986,1986,F-G,195.6,,215
Allan Bristow,23.08.1951,1974,1983,F-G,200.7,,210
Allan Houston,20.04.1971,1994,2005,G,198.1,,200
Allan Ray,17.06.1984,2007,2007,G,188,204.5,190
Allen Crabbe,09.04.1992,2014,2018,G-F,198.1,211.5,210
Allen Iverson,07.06.1975,1997,2010,G,182.9,,165
Allen Leavell,27.05.1957,1980,1989,G,185.4,,170
Allen Murphy,15.07.1952,1976,1977,G,195.6,,190
Allie McGuire,10.07.1951,1974,1974,G,190.5,,175
Alonzo Bradley,16.10.1953,1978,1980,F,198.1,,190
Alonzo Gee,29.05.1987,2010,2017,G,198.1,,225
Alonzo Mourning,08.02.1970,1993,2008,C,208.3,,240
Alphonso Ford,31.10.1971,1994,1995,G,185.4,,190
Alton Ford,29.05.1981,2002,2004,F,205.7,209.6,275
Alton Lister,01.10.1958,1982,1998,C-F,213.4,,240
Alvan Adams,19.07.1954,1976,1988,C-F,205.7,,210
Alvin Heggs,12.12.1967,1996,1996,F,203.2,,225
Alvin Jones,09.09.1978,2002,2002,C,210.8,,265
Alvin Robertson,22.07.1962,1985,1996,G,190.5,,185
Alvin Scott,14.09.1955,1978,1985,F-G,200.7,,185
Alvin Sims,18.10.1974,1999,1999,G,193,,235
Alvin Williams,06.08.1974,1998,2007,G,195.6,,185
Amal McCaskill,28.10.1973,1997,2004,F-C,210.8,,235
Amar'e Stoudemire,16.11.1982,2003,2016,F-C,208.3,217.8,245
Amir Johnson,01.05.1987,2006,2018,F-C,205.7,,240
Anderson Varejao,28.09.1982,2005,2017,F-C,208.3,,273
Andrae Patterson,12.11.1975,1999,2000,F,205.7,,238
Andray Blatche,22.08.1986,2006,2014,F,210.8,,235
Andre Barrett,21.02.1982,2005,2008,G,177.8,185.4,172
Andre Brown,12.05.1981,2007,2009,F,205.7,210.8,245
Andre Dawkins,19.09.1991,2015,2015,G,195.6,,215
Andre Drummond,10.08.1993,2013,2018,C,210.8,229.2,279
Andre Emmett,27.08.1982,2005,2012,F,195.6,205.7,230
Andre Iguodala,28.01.1984,2005,2018,G-F,198.1,210.8,215
Andre McCarter,25.08.1953,1977,1981,G,190.5,,190
Andre Miller,19.03.1976,2000,2016,G,190.5,,200
Andre Moore,02.07.1964,1988,1988,F,205.7,,215
Andre Owens,31.10.1980,2006,2008,G,193,,200
Andre Roberson,04.12.1991,2014,2018,G-F,200.7,210.8,210
Andre Spencer,20.07.1964,1993,1994,F,198.1,,210
Andre Turner,13.12.1964,1987,1992,G,180.3,,160
Andre Wakefield,11.01.1955,1979,1980,G,190.5,,175
Andrea Bargnani,26.10.1985,2007,2016,F-C,213.4,,245
Andreas Glyniadakis,21.08.1981,2007,2007,C,215.9,,280
Andrei Kirilenko,18.02.1981,2002,2015,F,205.7,,220
Andres Guibert,28.10.1968,1994,1995,F-C,208.3,,225
Andres Nocioni,30.11.1979,2005,2012,F,200.7,,225
Andrew Anderson,06.07.1945,1968,1970,G,188,,184
Andrew Bogut,28.11.1984,2006,2018,C,213.4,221,260
Andrew Bynum,27.10.1987,2006,2014,C,213.4,,285
Andrew DeClercq,01.02.1973,1996,2005,F-C,208.3,,230
Andrew Gaze,24.07.1965,1994,1999,G,200.7,,205
Andrew Goudelock,07.12.1988,2012,2016,G,190.5,193.7,200
Andrew Harrison,28.10.1994,2017,2018,G,198.1,205.7,213
Andrew Lang,28.06.1966,1989,2000,C,210.8,,245
Andrew Levane,11.04.2020,1949,1953,F-G,188,,190
Andrew Nicholson,08.12.1989,2013,2017,F,205.7,223.5,250
Andrew Toney,23.11.1957,1981,1988,G,190.5,,178
Andrew Wiggins,23.02.1995,2015,2018,F-G,203.2,,199
Andris Biedrins,02.04.1986,2005,2014,C,210.8,0,240
Andy Duncan,17.04.2022,1949,1951,F-C,198.1,,195
Andy Johnson,08.11.1932,1959,1962,F-G,195.6,,215
Andy Kostecka,10.02.2021,1949,1949,F,190.5,,203
Andy O'Donnell,10.03.2025,1950,1950,G,185.4,,180
Andy Panko,27.11.1977,2001,2001,F,205.7,,222
Andy Phillip,07.03.2022,1948,1958,G-F,188,,195
Andy Rautins,02.11.1986,2011,2011,G,193,200.7,190
Andy Tonkovich,01.11.2022,1949,1949,G,185.4,,185
Andy Toolson,19.01.1966,1991,1996,G-F,198.1,,210
Andy Walker,25.03.1955,1977,1977,G,193,,190
Anfernee Hardaway,18.07.1971,1994,2008,G-F,200.7,,195
Angelo Musi,25.07.2018,1947,1949,G,175.3,,145
Ansley Truitt,24.08.1950,1973,1973,C,205.7,,215
Ansu Sesay,29.07.1976,2002,2005,F,205.7,,225
Antawn Jamison,12.06.1976,1999,2014,F,203.2,,223
Ante Zizic,04.01.1997,2018,2018,F-C,210.8,,250
Anthony Avent,18.10.1969,1993,2000,F,205.7,,235
Anthony Bennett,14.03.1993,2014,2017,F,203.2,,245
Anthony Bonner,08.06.1968,1991,1996,F,203.2,,215
Anthony Bowie,09.11.1963,1989,1998,G-F,198.1,,190
Anthony Brown,10.10.1992,2016,2017,F-G,200.7,210.8,210
Anthony Carter,16.06.1975,2000,2012,G,185.4,,190
Anthony Cook,19.03.1967,1991,1996,F-C,205.7,,205
Anthony Davis,11.03.1993,2013,2018,F-C,208.3,227.3,253
Anthony Frederick,07.12.1964,1989,1992,F,200.7,,205
Anthony Goldwire,06.09.1971,1996,2006,G,185.4,,182
Anthony Grundy,15.04.1979,2006,2006,G,190.5,202.6,180
Anthony Johnson,02.10.1974,1998,2010,G,190.5,,190
Anthony Jones,13.09.1962,1987,1990,G-F,198.1,,195
Anthony Mason,14.12.1966,1990,2003,F,200.7,,250
Anthony Miller,22.10.1971,1995,2005,F,205.7,,225
Anthony Morrow,27.09.1985,2009,2017,G,195.6,,210
Anthony Parker,19.06.1975,1998,2012,G,198.1,,215
Anthony Peeler,25.11.1969,1993,2005,G,193,,208
Anthony Pullard,23.06.1966,1993,1993,F,208.3,,245
Anthony Randolph,15.07.1989,2009,2014,F,208.3,221,205
Anthony Roberson,14.02.1983,2006,2009,G,188,189.9,180
Anthony Roberts,15.04.1955,1978,1984,F-G,195.6,,185
Anthony Taylor,30.11.1965,1989,1989,G,193,,175
Anthony Tolliver,01.06.1985,2009,2018,F-C,203.2,219.7,240
Anthony Tucker,04.04.1969,1995,1995,F,203.2,,220
Antoine Carr,23.07.1961,1985,2000,F-C,205.7,,225
Antoine Rigaudeau,17.12.1971,2003,2003,G,200.7,,210
Antoine Walker,12.08.1976,1997,2008,F,203.2,,224
Antoine Wright,06.02.1984,2006,2011,G-F,200.7,205.1,210
Antonio Anderson,05.06.1985,2010,2010,G,198.1,,215
Antonio Blakeney,04.10.1996,2018,2018,G,193,,197
Antonio Burks,25.02.1980,2005,2006,G,185.4,199.4,200
Antonio Daniels,19.03.1975,1998,2011,G,193,,195
Antonio Davis,31.10.1968,1994,2006,F-C,205.7,,215
Antonio Harvey,06.07.1970,1994,2003,F-C,210.8,,225
Antonio Lang,15.05.1972,1995,2000,F-G,203.2,,205
Antonio McDyess,07.09.1974,1996,2011,F-C,205.7,,220
Antonis Fotsis,01.04.1981,2002,2002,F,208.3,204.5,219
Antonius Cleveland,02.02.1994,2018,2018,G,198.1,,195
Archie Clark,15.07.1941,1967,1976,G,188,,175
Archie Dees,22.02.1936,1959,1962,F-C,203.2,,205
Archie Goodwin,17.08.1994,2014,2017,G,195.6,207,200
Ariel Maughan,23.02.2023,1947,1951,F,193,,190
Arinze Onuaku,13.07.1987,2014,2017,C,205.7,,255
Armand Cure,01.08.2019,1947,1947,F,182.9,,198
Armen Gilliam,28.05.1964,1988,2000,F-C,205.7,,230
Armon Johnson,23.02.1989,2011,2012,G,190.5,203.2,195
Armond Hill,31.03.1953,1977,1984,G,193,,190
Arnett Moultrie,18.11.1990,2013,2014,F,210.8,219.1,249
Arnie Ferrin,29.07.2025,1949,1951,F-G,188,,180
Arnie Johnson,16.05.2020,1949,1953,F-C,195.6,,236
Arnie Risen,09.10.2024,1949,1958,C-F,205.7,,200
Aron Baynes,09.12.1986,2013,2018,C,208.3,,260
Arron Afflalo,15.10.1985,2008,2018,G,195.6,,210
Art Burris,07.04.2024,1951,1952,F,195.6,,220
Art Collins,14.04.1954,1981,1981,G,193,,185
Art Harris,13.01.1947,1969,1972,G,193,,185
Art Heyman,24.06.1941,1964,1970,F-G,195.6,,205
Art Hillhouse,12.06.2016,1947,1948,C,200.7,,220
Art Long,01.10.1972,2001,2003,F,205.7,,250
Art Spector,17.10.2020,1947,1950,F,193,,200
Art Spoelstra,11.09.1932,1955,1958,C,205.7,,220
Art Stolkey,23.10.2020,1947,1947,G,185.4,,180
Art Williams,29.09.1939,1968,1975,G,185.4,,180
Arthur Becker,12.01.1942,1968,1973,F,200.7,,205
Artis Gilmore,21.09.1949,1972,1988,C,218.4,,240
Arvesta Kelly,20.11.1945,1968,1972,G,188,,175
Arvid Kramer,02.10.1956,1980,1980,C,205.7,,220
Arvydas Macijauskas,19.01.1980,2006,2006,G,193,,214
Arvydas Sabonis,19.12.1964,1996,2003,C,221,,279
Ashraf Amaya,23.11.1971,1996,1997,F,203.2,,230
Askia Jones,03.12.1971,1995,1995,G,195.6,,200
Aubrey Davis,28.03.2021,1947,1947,G-F,188,,175
Aud Brindley,31.12.2023,1947,1947,F,193,,175
Audie Norris,18.12.1960,1983,1985,C,205.7,,230
Aulcie Perry,03.07.1950,1975,1975,C,208.3,,210
Austin Carr,10.03.1948,1972,1981,G,193,,200
Austin Croshere,01.05.1975,1998,2009,F,205.7,,235
Austin Daye,05.06.1988,2010,2015,F,210.8,220.3,220
Austin Rivers,01.08.1992,2013,2018,G,193,201.3,200
Avery Bradley,26.11.1990,2011,2018,G,188,201.3,180
Avery Johnson,25.03.1965,1989,2004,G,177.8,,175
Awvee Storey,18.04.1977,2005,2008,G-F,198.1,,222
Axel Toupane,23.07.1992,2016,2017,G-F,200.7,,197
B.J. Armstrong,09.09.1967,1990,2000,G,188,,175
B.J. Tyler,30.04.1971,1995,1995,G,185.4,,185
Bailey Howell,20.01.1937,1960,1971,F,200.7,,210
Bam Adebayo,18.07.1997,2018,2018,C-F,208.3,,243
Barney Cable,29.07.1935,1959,1964,F,200.7,,175
Baron Davis,13.04.1979,2000,2012,G,190.5,,209
Barry Clemens,01.05.1943,1966,1976,F,198.1,,210
Barry Kramer,10.11.1942,1965,1970,F-G,193,,200
Barry Liebowitz,10.09.1945,1968,1968,G,188,,180
Barry Nelson,19.09.1949,1972,1972,C,208.3,,230
Barry Orms,01.05.1946,1969,1970,G,190.5,,190
Barry Parkhill,10.05.1951,1974,1976,G,193,,185
Barry Stevens,17.01.1963,1993,1993,G-F,195.6,,195
Barry Sumpter,11.11.1965,1989,1989,F-C,210.8,,215
Barry Yates,30.01.1946,1972,1972,F,200.7,,215
Bart Kofoed,24.03.1964,1988,1993,G,193,,210
Bato Govedarica,17.04.2028,1954,1954,G,180.3,,185
Bayard Forrest,08.07.1954,1978,1979,C,208.3,,235
Belus Smawley,20.03.2018,1947,1952,G-F,185.4,,195
Ben Bentil,29.03.1995,2017,2017,F,205.7,217.2,235
Ben Clyde,10.06.1951,1975,1975,F,200.7,,198
Ben Coleman,14.11.1961,1987,1994,F,205.7,,235
Ben Davis,26.12.1972,1997,2000,F,205.7,,240
Ben Gillery,19.09.1965,1989,1989,C,213.4,,235
Ben Goldfaden,06.09.2013,1947,1947,F,185.4,,185
Ben Gordon,04.04.1983,2005,2015,G,190.5,204.5,200
Ben Handlogten,16.11.1973,2004,2005,C,208.3,,240
Ben Hansbrough,23.12.1987,2013,2013,G,190.5,,203
Ben Kelso,11.04.1949,1974,1974,G,190.5,,195
Ben McDonald,20.07.1962,1986,1989,F,203.2,,210
Ben McLemore,11.02.1993,2014,2018,G,195.6,202.6,195
Ben Poquette,07.05.1955,1978,1987,F-C,205.7,,235
Ben Schadler,09.03.2024,1948,1948,F,182.9,,185
Ben Scharnus,11.12.2017,1947,1949,F,188,,173
Ben Simmons,20.07.1996,2018,2018,G-F,208.3,,230
Ben Uzoh,19.03.1988,2011,2012,G,190.5,,205
Ben Wallace,10.09.1974,1997,2012,F-C,205.7,,240
Ben Warley,04.09.1936,1963,1970,F-G,195.6,,200
Bennie Swain,16.12.1933,1959,1959,F,203.2,,220
Beno Udrih,05.07.1982,2005,2017,G,190.5,194.3,205
Benoit Benjamin,22.11.1964,1986,2000,C,213.4,,250
Bernard James,07.02.1985,2013,2015,C,208.3,221,240
Bernard King,04.12.1956,1978,1993,F,200.7,196.9,205
Bernard Robinson,26.12.1980,2005,2007,G-F,198.1,208.3,210
Bernard Thompson,30.08.1962,1985,1989,F-G,198.1,,210
Bernard Toone,14.07.1956,1980,1980,F,205.7,,210
Bernie Fryer,25.12.1949,1974,1975,G,190.5,,185
Bernie Harris,26.11.1950,1975,1975,F,208.3,,200
Bernie Williams,30.12.1945,1970,1974,G,190.5,,175
Bert Cook,26.04.2029,1955,1955,G-F,190.5,,185
Bevo Nordmann,11.12.1939,1962,1965,C,208.3,,225
Bill Allen,00.01.1900,1968,1968,C-F,203.2,,205
Bill Bolger,21.08.1931,1954,1954,F,195.6,,205
Bill Bradley,28.07.1943,1968,1968,G,180.3,,165
Bill Bradley,28.07.1943,1968,1977,F-G,195.6,,205
Bill Bridges,04.04.1939,1963,1975,F-C,198.1,,228
Bill Buntin,05.05.1942,1966,1966,C-F,200.7,,250
Bill Bunting,26.08.1947,1970,1972,F-C,203.2,,200
Bill Calhoun,04.11.2027,1949,1955,F-G,190.5,,180
Bill Cartwright,30.07.1957,1980,1995,C,215.9,,245
Bill Chamberlain,16.12.1949,1973,1974,F,198.1,,188
Bill Closs,08.01.2022,1950,1952,F-C,195.6,,195
Bill Crow,09.12.1940,1968,1968,G,185.4,,180
Bill Curley,29.05.1972,1995,2001,F,205.7,,220
Bill Davis,03.10.2020,1947,1947,F,190.5,,215
Bill Dinwiddie,15.07.1943,1968,1972,F,200.7,,220
Bill Downey,11.11.2023,1948,1948,C,198.1,,210
Bill Ebben,07.10.1935,1958,1958,G,193,,190
Bill Edwards,22.09.1971,1994,1994,F,203.2,,215
Bill Gabor,13.05.2022,1950,1955,G-F,180.3,,170
Bill Gaines,10.03.1946,1969,1969,G,193,,185
Bill Garner,17.06.1940,1968,1968,C,208.3,,220
Bill Garnett,22.04.1960,1983,1986,F,205.7,,225
Bill Hanzlik,06.12.1957,1981,1990,G-F,200.7,,185
Bill Henry,27.12.2024,1949,1950,C,205.7,,215
Bill Herman,17.05.2024,1950,1950,G,190.5,,170
Bill Hewitt,08.08.1944,1969,1975,F,200.7,,210
Bill Higgins,15.12.1952,1975,1975,G,188,,180
Bill Hosket,20.12.1946,1969,1972,F-C,203.2,,225
Bill Jones,18.03.1966,1989,1989,F,200.7,,175
Bill Keller,30.08.1947,1970,1976,G,177.8,,177
Bill Laimbeer,19.05.1957,1981,1994,C,210.8,,245
Bill Ligon,29.05.1952,1975,1975,G,193,,180
Bill Martin,16.08.1962,1986,1988,F,200.7,,205
Bill Mayfield,17.10.1957,1981,1981,F,200.7,,205
Bill McGill,16.09.1939,1963,1970,C-F,205.7,,225
Bill Melchionni,19.10.1944,1967,1976,G,185.4,,165
Bill Meyer,30.08.1943,1968,1968,G,190.5,,195
Bill Miller,24.11.2024,1949,1949,F,190.5,,190
Bill Mlkvy,19.01.1931,1953,1953,F,193,,190
Bill Newton,22.12.1950,1973,1974,C,205.7,,220
Bill Roberts,13.03.2025,1949,1950,C,205.7,,210
Bill Robinzine,20.01.1953,1976,1982,F,200.7,,230
Bill Russell,12.02.1934,1957,1969,C,208.3,,215
Bill Sharman,25.05.2026,1951,1961,G,185.4,,175
Bill Smith,26.04.1939,1962,1962,G-F,195.6,,190
Bill Stricker,22.01.1948,1971,1971,F,205.7,,210
Bill Thieben,28.03.1935,1957,1958,F-C,200.7,,215
Bill Tosheff,02.06.2026,1952,1954,G,185.4,,175
Bill Turner,18.02.1944,1968,1973,F,200.7,,220
Bill Walton,05.11.1952,1975,1987,C-F,210.8,,210
Bill Wennington,26.04.1963,1986,2000,C,213.4,,245
Bill Willoughby,20.05.1957,1976,1984,F-C,203.2,,205
Bill Zopf,07.06.1948,1971,1971,G,185.4,,170
Billy Cunningham,03.06.1943,1966,1976,F-C,198.1,,210
Billy DeAngelis,05.10.1946,1971,1971,G,185.4,,180
Billy Donovan,30.05.1965,1988,1988,G,180.3,,171
Billy Evans,03.03.1947,1970,1970,G,182.9,,170
Billy Harris,12.11.1951,1975,1975,G,188,,185
Billy Hassett,21.10.2021,1950,1951,G,180.3,,180
Billy James,11.02.1950,1974,1974,G,190.5,,185
Billy Kenville,01.12.1930,1954,1960,G-F,188,,187
Billy Knight,09.06.1952,1975,1985,G-F,198.1,,195
Billy McKinney,05.06.1955,1979,1986,G,182.9,,160
Billy Owens,01.05.1969,1992,2001,F-G,203.2,,220
Billy Paultz,30.07.1948,1971,1985,C-F,210.8,,235
Billy Ray Bates,31.05.1956,1980,1983,G,193,,210
Billy Reid,10.09.1957,1981,1981,G,195.6,,190
Billy Schaeffer,11.12.1951,1974,1976,F,195.6,,200
Billy Shepherd,18.11.1949,1973,1975,G,177.8,,160
Billy Thomas,23.12.1975,2005,2008,G,193,,208
Billy Thompson,01.12.1963,1987,1992,F,200.7,,195
Bimbo Coles,22.04.1968,1991,2004,G,185.4,,180
Bingo Smith,26.02.1946,1970,1980,F-G,195.6,,195
Bird Averitt,22.07.1952,1974,1978,G,185.4,,170
Bismack Biyombo,28.08.1992,2012,2018,C-F,205.7,,255
Bison Dele,06.04.1969,1992,1999,F-C,205.7,,235
Blackie Towery,20.06.2020,1949,1950,F-C,193,,210
Blaine Denning,19.09.1930,1953,1953,G,188,,175
Blair Rasmussen,13.11.1962,1986,1993,C,213.4,,250
Blake Ahearn,27.05.1984,2008,2012,G,188,,190
Blake Griffin,16.03.1989,2011,2018,F,208.3,211.5,251
Blue Edwards,31.10.1965,1990,1999,G-F,193,,200
Bo Ellis,08.08.1954,1978,1980,F,205.7,,197
Bo Erias,30.07.1932,1958,1958,F,190.5,,220
Bo Kimble,09.04.1966,1991,1993,G,193,,190
Bo Lamar,07.04.1951,1974,1977,G,185.4,,180
Bo Outlaw,13.04.1971,1994,2008,F,203.2,,210
Bob Allen,17.07.1946,1969,1969,F,205.7,,205
Bob Anderegg,24.08.1937,1960,1960,F-G,190.5,,200
Bob Armstrong,17.06.1933,1957,1957,C-F,203.2,,220
Bob Arnzen,03.11.1947,1970,1974,F,195.6,,205
Bob Bedell,26.06.1944,1968,1971,F,200.7,,205
Bob Bigelow,26.12.1953,1976,1979,F-G,200.7,,215
Bob Boozer,26.04.1937,1961,1971,F,203.2,,215
Bob Brannum,28.05.2025,1950,1955,F-C,195.6,,215
Bob Brown,12.11.2023,1949,1950,F,193,,205
Bob Burrow,29.06.1934,1957,1958,C-F,200.7,,228
Bob Carney,03.08.1932,1955,1955,G,190.5,,170
Bob Carpenter,06.11.2017,1950,1951,F-C,195.6,,200
Bob Carrington,03.07.1953,1978,1980,G-F,198.1,,195
Bob Christian,11.05.1946,1970,1974,C,208.3,,255
Bob Cluggish,18.09.2017,1947,1947,C,208.3,,235
Bob Cousy,09.08.2028,1951,1970,G,185.4,,175
Bob Dandridge,15.11.1947,1970,1982,F-G,198.1,,195
Bob Davies,15.01.2020,1949,1955,G-F,185.4,,175
Bob Davis,02.04.1950,1973,1973,F,200.7,,215
Bob Dille,02.07.2017,1947,1947,F,190.5,,190
Bob Doll,10.08.2019,1947,1950,F-C,195.6,,195
Bob Donham,11.10.2026,1951,1954,G-F,188,,190
Bob Duffy,05.07.2022,1947,1947,F,193,,175
Bob Duffy,05.07.2022,1963,1965,G,190.5,,185
Bob Elliott,18.08.1955,1979,1981,C-F,205.7,,225
Bob Evans,31.05.2025,1950,1950,G,188,,175
Bob Faught,02.09.2021,1947,1947,F,195.6,,185
Bob Feerick,02.01.2020,1947,1950,F-G,190.5,,190
Bob Ferry,31.05.1937,1960,1969,C-F,203.2,,230
Bob Fitzgerald,14.03.2023,1947,1949,F-C,195.6,,190
Bob Ford,26.01.1950,1973,1973,F,200.7,,228
Bob Gantt,22.06.2022,1947,1947,F-C,193,,205
Bob Greacen,15.09.1947,1970,1972,F,200.7,,206
Bob Gross,03.08.1953,1976,1983,F-G,198.1,,200
Bob Hansen,18.01.1961,1984,1992,G,198.1,,190
Bob Harris,16.03.2027,1950,1954,F-C,200.7,,195
Bob Harrison,12.08.2027,1950,1958,G,185.4,,190
Bob Hogsett,29.01.1941,1967,1968,F,200.7,,230
Bob Hopkins,03.11.1934,1957,1960,C-F,203.2,,205
Bob Houbregs,12.03.1932,1954,1958,C-F,200.7,,210
Bob Hubbard,27.12.2022,1948,1949,C-F,198.1,,215
Bob Kauffman,13.07.1946,1969,1975,F-C,203.2,,240
Bob Kinney,16.09.2020,1949,1950,C-F,198.1,,215
Bob Knight,30.04.2029,1955,1955,G-F,188,,185
Bob Lackey,04.04.1949,1973,1974,G-F,195.6,,200
Bob Lanier,10.09.1948,1971,1984,C,210.8,,250
Bob Lavoy,29.06.2026,1951,1954,F-C,200.7,,185
Bob Lochmueller,05.06.2027,1953,1953,F,195.6,,185
Bob Love,08.12.1942,1967,1977,F,203.2,,215
Bob Martin,07.10.1969,1994,1995,C,213.4,,250
Bob McAdoo,25.09.1951,1973,1986,C-F,205.7,,210
